State.Code,County.Code,Site.Num,State,County,City,Date.Local,NO2.Units,NO2.Mean,O3.Units,O3.Mean,SO2.Units,SO2.Mean,CO.Units,CO.Mean
1,73,23,Alabama,Jefferson,Birmingham,01-01-16,Parts per billion,2.520833,Parts per million,0.022292,Parts per billion,0.413636,Parts per million,0.129545
1,73,23,Alabama,Jefferson,Birmingham,01-01-16,Parts per billion,2.520833,Parts per million,0.022292,Parts per billion,0.413636,Parts per million,0.1
1,73,23,Alabama,Jefferson,Birmingham,01-01-16,Parts per billion,2.520833,Parts per million,0.022292,Parts per billion,0.4,Parts per million,0.129545
1,73,23,Alabama,Jefferson,Birmingham,01-01-16,Parts per billion,2.520833,Parts per million,0.022292,Parts per billion,0.4,Parts per million,0.1
1,73,23,Alabama,Jefferson,Birmingham,02-01-16,Parts per billion,8.4375,Parts per million,0.015333,Parts per billion,0.663636,Parts per million,0.259091
1,73,23,Alabama,Jefferson,Birmingham,02-01-16,Parts per billion,8.4375,Parts per million,0.015333,Parts per billion,0.663636,Parts per million,0.166667
1,73,23,Alabama,Jefferson,Birmingham,02-01-16,Parts per billion,8.4375,Parts per million,0.015333,Parts per billion,0.671429,Parts per million,0.259091
1,73,23,Alabama,Jefferson,Birmingham,02-01-16,Parts per billion,8.4375,Parts per million,0.015333,Parts per billion,0.671429,Parts per million,0.166667
1,73,23,Alabama,Jefferson,Birmingham,03-01-16,Parts per billion,12.75,Parts per million,0.017208,Parts per billion,0.863636,Parts per million,0.257727
1,73,23,Alabama,Jefferson,Birmingham,03-01-16,Parts per billion,12.75,Parts per million,0.017208,Parts per billion,0.863636,Parts per million,0.333333
1,73,23,Alabama,Jefferson,Birmingham,03-01-16,Parts per billion,12.75,Parts per million,0.017208,Parts per billion,0.857143,Parts per million,0.257727
1,73,23,Alabama,Jefferson,Birmingham,03-01-16,Parts per billion,12.75,Parts per million,0.017208,Parts per billion,0.857143,Parts per million,0.333333
1,73,23,Alabama,Jefferson,Birmingham,04-01-16,Parts per billion,3.141667,Parts per million,0.025292,Parts per billion,0.51,Parts per million,0.132
1,73,23,Alabama,Jefferson,Birmingham,04-01-16,Parts per billion,3.141667,Parts per million,0.025292,Parts per billion,0.51,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,04-01-16,Parts per billion,3.141667,Parts per million,0.025292,Parts per billion,0.433333,Parts per million,0.132
1,73,23,Alabama,Jefferson,Birmingham,04-01-16,Parts per billion,3.141667,Parts per million,0.025292,Parts per billion,0.433333,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,05-01-16,Parts per billion,9.316667,Parts per million,0.021917,Parts per billion,0.75,Parts per million,0.613636
1,73,23,Alabama,Jefferson,Birmingham,05-01-16,Parts per billion,9.316667,Parts per million,0.021917,Parts per billion,0.75,Parts per million,0.6375
1,73,23,Alabama,Jefferson,Birmingham,05-01-16,Parts per billion,9.316667,Parts per million,0.021917,Parts per billion,0.75,Parts per million,0.613636
1,73,23,Alabama,Jefferson,Birmingham,05-01-16,Parts per billion,9.316667,Parts per million,0.021917,Parts per billion,0.75,Parts per million,0.6375
